policy,dynamics,agents,obstacles,control_noise,episodes,success_rate_pct,mean_reward,failures_total,fail_obstacle,fail_wall,fail_timeout,training_run,source_file
reward_only,dynamic,5,0,high,1000,9.30,0.00,907,637,64,206,navigation_reward_only_20260603_060408,/local1/hishamb/cbf-rl-environment/results/results_reward_only/results_reward_only_navigation_reward_only_20260603_060408_model_1499_20260604_051008/results_reward_only_navigation_reward_only_20260603_060408_model_1499_20260604_051008.txt
reward_only,dynamic,4,1,low,1000,24.00,0.00,760,675,65,20,navigation_reward_only_20260603_053734,/local1/hishamb/cbf-rl-environment/results/results_reward_only/results_reward_only_navigation_reward_only_20260603_053734_model_1499_20260604_043908/results_reward_only_navigation_reward_only_20260603_053734_model_1499_20260604_043908.txt
reward_only,dynamic,4,1,medium,1000,16.00,0.00,840,721,44,75,navigation_reward_only_20260603_054235,/local1/hishamb/cbf-rl-environment/results/results_reward_only/results_reward_only_navigation_reward_only_20260603_054235_model_1499_20260604_044459/results_reward_only_navigation_reward_only_20260603_054235_model_1499_20260604_044459.txt
reward_only,dynamic,4,1,high,1000,13.80,0.00,862,717,82,63,navigation_reward_only_20260603_054338,/local1/hishamb/cbf-rl-environment/results/results_reward_only/results_reward_only_navigation_reward_only_20260603_054338_model_1499_20260604_050607/results_reward_only_navigation_reward_only_20260603_054338_model_1499_20260604_050607.txt
reward_only,dynamic,3,2,low,1000,42.10,0.00,579,497,50,32,navigation_reward_only_20260603_052335,/local1/hishamb/cbf-rl-environment/results/results_reward_only/results_reward_only_navigation_reward_only_20260603_052335_model_1499_20260604_041127/results_reward_only_navigation_reward_only_20260603_052335_model_1499_20260604_041127.txt
reward_only,dynamic,3,2,medium,1000,39.40,0.00,606,544,34,28,navigation_reward_only_20260603_053222,/local1/hishamb/cbf-rl-environment/results/results_reward_only/results_reward_only_navigation_reward_only_20260603_053222_model_1499_20260604_041304/results_reward_only_navigation_reward_only_20260603_053222_model_1499_20260604_041304.txt
reward_only,dynamic,3,2,high,1000,37.40,0.00,626,566,40,20,navigation_reward_only_20260603_053329,/local1/hishamb/cbf-rl-environment/results/results_reward_only/results_reward_only_navigation_reward_only_20260603_053329_model_1499_20260604_042811/results_reward_only_navigation_reward_only_20260603_053329_model_1499_20260604_042811.txt
reward_only,dynamic,2,3,low,1000,72.10,0.00,279,218,25,36,navigation_reward_only_20260603_051512,/local1/hishamb/cbf-rl-environment/results/results_reward_only/results_reward_only_navigation_reward_only_20260603_051512_model_1499_20260604_035143/results_reward_only_navigation_reward_only_20260603_051512_model_1499_20260604_035143.txt
reward_only,dynamic,2,3,medium,1000,79.00,0.00,210,195,7,8,navigation_reward_only_20260603_052127,/local1/hishamb/cbf-rl-environment/results/results_reward_only/results_reward_only_navigation_reward_only_20260603_052127_model_1499_20260604_035545/results_reward_only_navigation_reward_only_20260603_052127_model_1499_20260604_035545.txt
reward_only,dynamic,2,3,high,1000,68.00,0.00,320,183,66,71,navigation_reward_only_20260603_052234,/local1/hishamb/cbf-rl-environment/results/results_reward_only/results_reward_only_navigation_reward_only_20260603_052234_model_1499_20260604_040027/results_reward_only_navigation_reward_only_20260603_052234_model_1499_20260604_040027.txt
reward_only,dynamic,1,4,low,1000,91.40,2052.84,86,28,6,52,navigation_reward_only_20260603_045803,/local1/hishamb/cbf-rl-environment/results/results_reward_only/results_reward_only_navigation_reward_only_20260603_045803_model_1499_20260604_034033/results_reward_only_navigation_reward_only_20260603_045803_model_1499_20260604_034033.txt
reward_only,dynamic,1,4,medium,1000,94.90,2027.33,51,27,17,7,navigation_reward_only_20260603_050135,/local1/hishamb/cbf-rl-environment/results/results_reward_only/results_reward_only_navigation_reward_only_20260603_050135_model_1499_20260604_034303/results_reward_only_navigation_reward_only_20260603_050135_model_1499_20260604_034303.txt
